pdt_code,pdt_name,current_inv,profit_margin,profit_per_qty,purchases_data_date_range,latest_purchases_date,latest_purchases_price,purchases_min_price,sales_data_date_range,latest_sales_date,latest_sales_price,sales_max_price,sales_avg_price,sales_min_price,total_purchases_qty,total_sales_qty,avg_sales_qty_per_month,total_profit
BAO001,BEEF AORTA 20KG/CTNS,0.0,0.34,3.95,2023-03-01 - 2023-09-29,2023-09-26,6.5,6.5,2023-03-01 - 2023-09-29,2023-09-25,8.5,10.5,9.6,8.0,184.06,184.06,30.68,1530.57
BAU002,BEEF- BONE IN TOMAHAWK (FROZEN),0.0,0.04,1.0,2021-09-01 - 2023-09-29,2022-08-26,27.2,27.2,2021-09-01 - 2023-09-29,2022-08-26,28.2,28.2,28.2,28.2,12.92,12.92,2.15,12.92
BBA001,BEEF BALL 1kg/pkt (PING PONG),120.0,0.05,0.5,2023-03-01 - 2023-09-29,2023-09-15,9.0,9.0,2023-03-01 - 2023-09-29,2023-09-29,9.9,12.0,9.5,9.2,1950.0,1963.0,327.17,3150.5
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,5.0,0.14,1.7,2023-03-01 - 2023-09-29,2023-09-20,10.8,10.8,2023-03-01 - 2023-09-29,2023-09-27,12.5,19.35,12.5,12.5,56.0,54.0,9.0,619.9
BBG001,BEEF- BULGOGI BEEF BURGER 15 X420GM,0.0,0.16,0.7,2021-09-01 - 2023-09-29,2022-08-15,3.9,3.0,2021-09-01 - 2023-09-29,2022-08-16,4.5,4.5,4.5,4.5,180.0,209.0,34.83,146.3
BBR001,BEEF BRISKET (BEAUVALLET-BRAZIL),0.0,0.22,2.1,2023-03-01 - 2023-09-29,2023-06-28,6.7,6.7,2023-03-01 - 2023-09-29,2023-08-04,9.5,11.0,9.5,7.6,1050.5,1218.81,203.14,3131.81
BBR002,BEEF BRISKET PE * (FRIBOI-BRAZIL),38.41,0.26,2.5,2023-03-01 - 2023-09-29,2023-09-06,7.0,6.9,2023-03-01 - 2023-09-29,2023-09-22,10.5,11.0,9.5,7.2,2907.13,2991.01,498.5,20797.58
BBR003,BEEF BRISKET PE (THOMAS-AUST) * PCS,0.0,0.34,3.7,2021-09-01 - 2023-09-29,2022-05-04,7.3,7.2,2021-09-01 - 2023-09-29,2022-05-03,11.0,11.0,11.0,8.5,313.14,313.14,52.19,1015.35
BBR004,BEEF BRISKET NE (FRIBOI/MAFRIPAR/MONDELI/QULITY),353.45,0.2,1.8,2023-03-01 - 2023-09-29,2023-09-28,7.2,7.2,2023-03-01 - 2023-09-29,2023-09-28,9.3,11.0,9.0,7.6,443.7,100.95,16.83,1055.56
BBR009,BEEF BRISKET CHOICE GRADE,0.0,0.03,0.3,2023-03-01 - 2023-09-29,2023-06-07,11.0,11.0,2023-03-01 - 2023-09-29,2023-06-07,11.3,11.3,11.3,11.3,34.11,34.11,5.69,10.23
BBR010,BEEF BRISKET PE * (GJ-BRAZIL),0.0,0.14,1.0,2023-03-01 - 2023-09-29,2023-09-09,6.0,6.0,2023-03-01 - 2023-09-29,2023-09-11,7.0,7.0,7.0,7.0,2569.66,2569.66,428.28,2569.66
BCHO01,BEEF CHOP 190-220gm 5kg/pkt,0.0,0.17,2.0,,,,,2023-03-01 - 2023-09-29,2023-09-26,12.0,12.0,12.0,12.0,,215.87,35.98,1451.22
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,80.0,0.07,0.55,2023-03-01 - 2023-09-29,2023-09-19,7.7,7.6,2023-03-01 - 2023-09-29,2023-09-27,9.8,9.8,9.8,8.6,1180.0,990.0,165.0,3715.65
BCHO04,BEEF MELTIQUE SIRLOIN STEAK 150GM/PCS,0.0,0.09,0.5,2021-09-01 - 2023-09-29,2022-07-29,5.0,5.0,2021-09-01 - 2023-09-29,2022-07-22,5.5,5.5,5.5,5.5,6.0,6.0,1.0,3.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,90.0,0.38,3.0,2021-09-01 - 2023-09-29,2022-11-19,5.0,5.0,2023-03-01 - 2023-09-29,2023-09-29,8.48,13.21,8.0,7.1,1888.0,9224.0,1537.33,62795.91
BCR001,BEEF CHUCK BRAZIL,0.0,0.08,0.6,2021-09-01 - 2023-09-29,2023-02-22,7.2,6.5,2023-03-01 - 2023-09-29,2023-03-06,7.8,7.8,7.8,7.8,2408.52,48.22,8.04,1527.78
BCR002,"BEEF CHUCK EYEROLL CHOICE ,,USA,,SWIFT",76.42,0.17,2.9,2023-03-01 - 2023-09-29,2023-09-14,13.5,12.8,2023-03-01 - 2023-09-29,2023-09-23,13.8,19.0,17.3,13.8,308.62,277.68,46.28,2218.31
BCT001,BEEF CHUCK TENDER (BRAZIL),46.36,0.15,1.35,2023-03-01 - 2023-09-29,2023-09-14,7.8,7.5,2023-03-01 - 2023-09-29,2023-09-13,8.0,10.5,8.3,7.8,14506.35,9449.53,1574.92,4265.15
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,56.0,0.11,1.0,,,,,2023-03-01 - 2023-09-29,2023-09-27,11.0,12.0,9.5,9.5,,779.11,129.85,3304.42
BCT002-02,2KG BEEF CHUCK TENDER SLICED 4.5mm,0.0,0.13,1.2,,,,,2021-09-01 - 2023-09-29,2021-10-29,9.0,9.0,9.0,9.0,,1.4,0.23,1.68
BCT003,BEEF CHUCK TAIL FLAP MBS 6/7-CHILLED,0.0,0.22,14.6,2021-09-01 - 2023-09-29,2021-12-01,58.9,52.4,2021-09-01 - 2023-09-29,2021-09-14,67.0,67.0,67.0,67.0,14.5,9.45,1.58,137.97
BCT003-01,BEEF CHUCK TAIL FLAP MBS 8/9-CHILLED,0.0,0.21,20.0,2021-09-01 - 2023-09-29,2021-10-26,75.0,75.0,2021-09-01 - 2023-09-29,2021-10-15,95.0,95.0,95.0,95.0,39.84,3.96,0.66,79.2
BCT003-02,BEEF CHUCK TAIL FLAP GRAINFED AUST ANGUS,0.0,0.09,2.0,,,,,2021-09-01 - 2023-09-29,2021-09-02,22.0,22.0,22.0,22.0,,4.38,0.73,8.76
BCT004,BEEF CHUCK TENDER QUALITY,0.0,0.04,0.33,2023-03-01 - 2023-09-29,2023-04-10,7.6,7.55,2023-03-01 - 2023-09-29,2023-04-10,8.0,8.0,7.9,7.8,1410.73,1410.83,235.14,404.6
BEER01,BEER- HEINEKEN 490ML X 24CANS/CTNS,37.0,0.14,0.56,2021-09-01 - 2023-09-29,2021-10-21,3.44,3.44,2021-09-01 - 2023-09-29,2022-02-05,4.0,4.0,4.0,4.0,48.0,31.0,5.17,17.36
BER001,BEEF EYEROUND,24.63,0.03,0.4,2023-03-01 - 2023-09-29,2023-09-16,12.5,12.5,2023-03-01 - 2023-09-29,2023-09-29,14.5,15.5,14.5,12.8,571.46,493.26,82.21,695.91
BER002,BEEF EYEROUND CHILLED NZ-SLIVERFIRM,0.0,0.07,1.0,2021-09-01 - 2023-09-29,2022-10-13,13.5,13.5,2021-09-01 - 2023-09-29,2022-10-14,14.5,14.5,14.5,14.5,598.76,538.6,89.77,538.6
BFC001,BEEF FATS 25KG/CTNS (OAKEY-AUST),301.93,0.11,0.5,2023-03-01 - 2023-09-29,2023-09-15,4.0,4.0,2023-03-01 - 2023-09-29,2023-09-26,5.0,5.9,5.0,3.6,1300.0,1603.25,267.21,2413.41
BFC003,BEEF FLOSS 2KG/PKT,0.0,0.07,0.6,,,,,2023-03-01 - 2023-09-29,2023-04-10,8.8,9.2,8.8,8.8,,60.0,10.0,1096.2
BFC004,BEEF FATS (BEAUVALLET-BRAZIL),0.0,0.12,0.48,2023-03-01 - 2023-09-29,2023-08-03,3.3,3.3,2023-03-01 - 2023-09-29,2023-08-03,3.5,3.9,3.78,3.5,6762.71,6805.88,1134.31,1706.74
BFC005,BEEF FATS 27.20KG/CTNS (AMG),191.74,0.32,1.6,2023-03-01 - 2023-09-29,2023-05-29,3.3,3.3,2023-03-01 - 2023-09-29,2023-09-19,4.8,10.0,4.5,3.6,1690.42,1571.04,261.84,10062.27
BFE001,BEEF FEET CUT,0.0,0.67,2.0,,,,,2021-09-01 - 2023-09-29,2022-03-23,3.0,3.0,3.0,3.0,,25.0,4.17,50.0
BFK001,BEEF CHEEK (SILVERFERN-FROZEN),0.0,0.02,0.3,2023-03-01 - 2023-09-29,2023-06-05,14.8,14.8,2023-03-01 - 2023-09-29,2023-06-05,15.1,15.1,15.1,15.1,1679.86,1679.86,279.98,503.96
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,0.0,0.27,1.5,2023-03-01 - 2023-09-29,2023-05-15,4.0,4.0,2023-03-01 - 2023-09-29,2023-05-15,6.0,6.0,6.0,6.0,45.0,45.0,7.5,1987.65
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),0.0,0.18,1.35,2021-09-01 - 2023-09-29,2022-09-09,6.8,4.93,2023-03-01 - 2023-09-29,2023-04-24,7.5,7.5,7.5,7.5,22014.9,56.11,9.35,12009.98
BFQ002,BEEF FOREQUARTER B/LESS (MINERVA-HALAL),7112.76,0.1,0.58,2023-03-01 - 2023-09-29,2023-07-03,5.58,4.76,2023-03-01 - 2023-09-29,2023-09-22,5.6,7.5,6.75,5.6,12021.9,7021.75,1170.29,5612.42
BFT001,BEEF HOCK TENDON (MIVERVA-BRAZIL),0.0,0.42,5.3,2023-03-01 - 2023-09-29,2023-03-10,7.2,7.2,2023-03-01 - 2023-09-29,2023-03-22,13.0,13.5,13.0,9.0,1456.08,1984.92,330.82,110876.81
